channel_id,channel_title,leaning,channel_country,channel_subscribercount,channel_videocount,channel_topic_ids,pR_vid,pR_usr
UCSTy-H5lSiCcozas32sfJlQ,AltRight.com,R,US,26566,149,"['/m/05qt0', '/m/098wr', '/m/05qt0', '/m/02jjt']",1,0.6441568124506181
UCz0XrNSR47KRbatCKuPmNKQ,makedonBULGAR,R,not set,1533,147,"['/m/04rlf', '/m/098wr']",1,0.43329669168130186
UCOZN0I173I_3aIDrPw0Irmw,Rebel Edge,R,CA,77748,147,"['/m/098wr', '/m/098wr', '/m/05qt0']",1,0.6736834814712833
UC7SeFWZYFmsm1tqWxfuOTPQ,Count Dankula,R,GB,359148,147,"['/m/019_rr', '/m/098wr']",1,0.6313521518821884
UClJ8Z0YvEm-ClFj3fdQgQkw,The Iconoclast,R,GB,173652,149,"['/m/05qt0', '/m/098wr']",1,0.6708437885754786
UCfBtn2cUsMyEau4PZYAPPPg,The Swan of Tuonela,R,FI,12067,145,"['/m/098wr', '/m/019_rr']",1,0.6374944917983038
UCIZBXVGIJoJMXf8giib0IiQ,James Allsup,R,US,373896,152,"['/m/098wr', '/m/05qt0']",1,0.5637372874940106
UCTDYMvK8FW_pg2dTmhoOo8Q,Irshad Manji,R,not set,8282,139,"['/m/098wr', '/m/02jjt', '/m/06bvp']",1,0.37433538028571084
UCuoFIyMX7PmlwwdmpXfyeNA,JFG Livestreams,R,not set,21729,141,['/m/098wr'],1,0.6833539191828408
UCfPBd9Mx04TPejDK7CuWfWw,novopress,R,not set,856,139,"['/m/05qt0', '/m/098wr']",1,0.48447565477932125
UCegXW27lSxsp0IKd-cSRCng,EuropeanUnity565,R,RU,10139,138,"['/m/04rlf', '/m/04rlf', '/m/06by7']",1,0.6677081489009438
UCY-UU3bN4FkMILC-CMd8N5w,reallygraceful,R,US,215194,138,"['/m/019_rr', '/m/098wr']",1,0.4589660178066248
UCxa1oCyi16cREZltCVedY7w,You Kipper,R,GB,25361,137,"['/m/05qt0', '/m/098wr', '/m/04rlf']",1,0.7010296276225484
UCH7xwxnTC1pwNqPYFSGgi7Q,DJ BSE,R,not set,328,96,"['/m/04rlf', '/m/04rlf', '/m/02lkt']",1,0.9514563106796117
UC1W1ftqrRvBbog4X3rX5E7A,Ultra Violet,R,US,6461,93,['/m/04rlf'],1,0.5934240420799262
UCla6APLHX6W3FeNLc8PYuvg,Lauren Southern,R,CA,672601,138,"['/m/098wr', '/m/019_rr']",1,0.5947395092985097
UCXmW42y6n5QZN-2muZRjjzw,Szent Korona Rádió,R,HU,2178,136,"['/m/098wr', '/m/04rlf']",1,0.9351931638094996
UCFPTO55xxHqFqkzRZHu4kcw,L'Esprit Franc,R,FR,33262,140,"['/m/098wr', '/m/098wr', '/m/019_rr', '/m/05qt0']",1,0.4478115095720213
UCpbyOgUSjTSPpvVUAT2OyHw,Blonde in the Belly of the Beast,R,US,112739,97,"['/m/098wr', '/m/05qt0', '/m/019_rr', '/m/02jjt']",NA,NA
UCZAENaOaceQUMd84GDc26EA,Survive the Jive,R,not set,44547,135,"['/m/04rlf', '/m/098wr', '/m/019_rr']",1,0.6740005748156356
UC3uaisWiYs1U929l_cekrxw,Patriotas .es,R,not set,1502,131,"['/m/098wr', '/m/098wr']",1,0.7029560817972863
UCS9sGutLEr_zI6vuJsDrVBQ,España2000,R,not set,1351,130,"['/m/098wr', '/m/098wr']",NA,NA
UC5G_jUiSFkWlLIXBOmmTjgg,Cy Wakeman,R,US,9530,135,"['/m/098wr', '/m/098wr', '/m/019_rr']",1,0.44021100474138913
UCG5MbIZ60hfKazU-8N9wg2A,Batavieren Podcast,R,NL,663,120,"['/m/098wr', '/m/098wr', '/m/04rlf']",1,0.7295455561279726
UChAfRiWP0vFCrQbLRfuCA-A,Martin Sellner GI,R,not set,26026,129,"['/m/04rlf', '/m/098wr']",1,0.7907772078421635
UC_Lh09RUqkf_DDyIRfCtpcQ,Svegot,R,SE,3453,154,"['/m/05qt0', '/m/098wr']",1,0.7388838475796269
UCdf14z6V0MWNeVcbAz0r8wQ,Mark Collett,R,GB,54638,138,"['/m/05qt0', '/m/05qt0', '/m/098wr']",1,0.6769140407082543
UCoN0WxmLAL1-Rc0c7cnDpxw,David Vance,R,not set,4960,128,"['/m/05qt0', '/m/098wr']",1,0.7125558669960532
UC2RIbH09wqI75Kn2ay3GUUA,Raheem Kassam,R,GB,17652,126,"['/m/05qt0', '/m/098wr']",1,0.6943221730003659
UC_oi8JESlRbOQW5n7Pl07NA,Bat'ko,R,not set,16295,125,['/m/04rlf'],1,0.3502253640203384
UCPlMLzsJbojltA5Stx7lWjw,Ruch Narodowy,R,not set,4680,126,"['/m/05qt0', '/m/05qt0', '/m/098wr']",1,0.6389206509458322
UCumt8XNOF-CCnKkMfRMAO7g,Mimir's Head,R,not set,2636,125,"['/m/04rlf', '/m/098wr']",1,0.6986900582674478
UC4J1zzgwYRMMP-LcEEyxfSw,Pegida Canada,R,not set,195,133,"['/m/098wr', '/m/098wr']",1,0.7939524380963301
UCJ6o6ta-B8Qi7WLyUADZL8Q,Der Versucher,R,not set,410,125,"['/m/04rlf', '/m/019_rr']",1,0.6439702579970341
UCNpAwV6GlFst1x3jmqCgYbQ,David Duke,R,not set,85677,123,"['/m/05qt0', '/m/098wr']",1,0.46043867512714776
UC41oJ1dIm-s6MxK80Pty99w,ImagesByDavid,R,IE,521,123,"['/m/019_rr', '/m/098wr']",1,0.38915947527562417
UC-DR80-aZt_e78OUO4SMWMw,rinnenmaker,R,not set,4857,122,"['/m/019_rr', '/m/019_rr', '/m/01k8wb']",1,0.8181463499219699
UCxZpNSZxq7nhlRFmtV5vcDA,CasaPound Italia,R,not set,14963,122,"['/m/05qt0', '/m/098wr']",1,0.7069169986325853
UCesrUK_dMDBZAf7cnjQPdgQ,Brittany Pettibone,R,US,107082,120,"['/m/019_rr', '/m/098wr']",1,0.7673359593049213
UChQ_yAMVLmJGWv-ebf72XPQ,Archivio Non Conforme,R,IT,5149,120,"['/m/06by7', '/m/04rlf']",1,0.5404120988850817
UCOQFfcGRc886dXP2Oyt5OEg,Tim Kellner,R,DE,96747,147,"['/m/05qt0', '/m/098wr', '/m/02jjt', '/m/07yv9', '/m/019_rr']",1,0.8582589582575789
UCkY8CvV8WQFe87CZGmvuYHA,No White Guilt,R,not set,11510,121,"['/m/098wr', '/m/019_rr']",1,0.7435524405567041
UCEmYkyvLFP63foPmnBSw70g,Dégauchisez-vous !,R,FR,2959,118,"['/m/098wr', '/m/05qt0', '/m/04rlf']",1,0.6023999866296741
UCC-PSXC7POexaGhJuSWsAtQ,Nordisk alternativhöger,R,not set,2233,120,"['/m/04rlf', '/m/02jjt']",1,0.7370838100928733
UCCmN9pikuShdxCrjHxdYmfw,Lancelot Camelot,R,not set,480,114,"['/m/06bvp', '/m/098wr', '/m/04rlf']",1,0.4376239190727187
UC2-3Cf7Hw10b3NW05p2Z7IA,LutheranSatire,R,not set,36849,114,"['/m/02jjt', '/m/04rlf', '/m/098wr']",1,0.5149984958702978
UCIO7DuybH-sZq7o-7dYh2QA,Spider58x,R,US,247,113,['/m/04rlf'],1,0.7014492791413413
UCodkb-qBktJI5NrUsPYpf7g,Jordan B Peterson Clips,R,not set,77484,111,"['/m/098wr', '/m/098wr']",1,0.6159788339435277
UCKc3JbKyAV4GO_faecCfK1A,Apollonian Germ,R,not set,8703,115,"['/m/019_rr', '/m/07yv9']",1,0.634571679630527
UCnHpJk49ofrQWHCSW7oAbBA,Theoretical Artist,R,not set,658,112,"['/m/019_rr', '/m/02jjt', '/m/0bzvm2']",1,0.40195361151869
UCvaHgYcWAAcn5D54w4Dqezg,Black Pilled,R,not set,131038,114,"['/m/05qt0', '/m/098wr']",1,0.6129839269606797
UCFl2pvyPqyZd-Azw6sfssrQ,Mundane Chats,R,not set,2914,86,"['/m/019_rr', '/m/02jjt']",1,0.47083632818285004
UCII9X0AMyy21VRwSVBjeBrw,Laut Gedacht,R,DE,28842,112,"['/m/05qt0', '/m/098wr', '/m/05qt0']",1,0.8568572376472214
UCkUIlohMX9BrNCWe-4gJwFw,RANT HUB,R,US,2573,116,['/m/098wr'],1,0.6657351824645091
UChUmVgVm1zNiPb11qsgZTQQ,VlaamsBelangEuropa,R,not set,167,109,"['/m/05qt0', '/m/05qt0', '/m/098wr']",1,0.4369703847846879
UC6CA0109lOB-86GWqNXse-Q,Réka Kinga Papp,R,not set,968,119,['/m/04rlf'],1,0.8975260332567733
UCo2W01evrf_kUHQ1816cnHQ,Thomas Baden-Riess,R,not set,6016,92,"['/m/02jjt', '/m/019_rr', '/m/098wr']",1,0.6305661403153535
UCj3Y_BShd-tAWV0Uuu0ioQg,CroPETROforever,R,not set,6889,93,"['/m/018w8', '/m/06ntj']",1,0.4192739840609582
UCOY70R9ajkcnpJkPsncTxiw,La Falange,R,not set,2467,109,"['/m/05qt0', '/m/098wr']",NA,NA
UCL-KWzX_hw7yfVR7WPQxIeA,T Я U Σ Ð I L T O M,R,AU,30374,80,['/m/098wr'],1,0.6339202005651073
UC7_SUe5KLJsu3zSil2z-1rA,OhFortunae,R,not set,1063,106,"['/m/01h6rj', '/m/04rlf', '/m/04rlf']",1,0.5994362592472686
UCwZDTLT00Bp_mBqYrN2De1w,jobod92,R,not set,369,107,"['/m/098wr', '/m/04rlf']",1,0.2867284332462691
UCqJKlxQMaWiCoZ2ao3OkG0w,Mattias Axelsson,R,SE,7416,105,"['/m/01k8wb', '/m/098wr']",1,0.5240927806099563
UC87YBeLMwXhgaw5tcCxsXgQ,Mike Cernovich,R,US,69342,116,"['/m/098wr', '/m/019_rr', '/m/02jjt', '/m/05qt0']",1,0.583004293114809
UCs2cy4VW-yJjZpWuS8CCjEQ,DetlefF. Artist,R,not set,9458,128,"['/m/04rlf', '/m/098wr']",1,0.8998481518937597
UCDLt1fvAPhRAG_2bX4dcgzQ,Mark Steyn,R,not set,51871,109,"['/m/04rlf', '/m/05qt0', '/m/098wr']",1,0.7200330388100005
UC-hsFegyYK13J6j-bO7bp_A,tihichat,R,not set,179,84,"['/m/06by7', '/m/04rlf']",1,0.5568877649885672
UCnh5xlJ8oZB3igx8_Wjp1LA,themetalhead667,R,not set,232,75,['/m/04rlf'],1,0.2572139871431909
UCgkoN5fod5z7lhFDdHrt30Q,1nemind,R,CA,19362,103,"['/m/06bvp', '/m/098wr']",1,0.6034268218034725
UCw5GV9jt7_KtWxrKjbo0yZQ,Hadraan Le Gaulois,R,not set,752,0,"['/m/04rlf', '/m/04rlf']",NA,NA
UCJETTzAcQNDZeDzlDZU1adA,НФСБ Благоевград,R,not set,51,103,"['/m/05qt0', '/m/098wr']",1,0.7454545454545455
UC1izZB-3orikuFxaj_SwsNw,The Great Order,R,not set,2188,105,"['/m/098wr', '/m/019_rr']",1,0.8645399598638138
UCJ8mhv5gvpYvWCGfiObVmNg,Vastarintamedia,R,FI,2226,101,['/m/098wr'],1,0.6622057911413042
UCbiEAICCX-lyat0IOUIbyCA,Fritz Imperial,R,US,6013,102,"['/m/04rlf', '/m/02jjt']",1,0.5920735612975777
UCck4tqn4wHb3jDhUn9dDVMg,Semiogogue,R,US,7841,108,"['/m/098wr', '/m/02jjt']",1,0.7265728903872558
UCZ1k4WZPiXjlywaO66lwB0Q,The Plebeian Podcast,R,GB,2005,101,"['/m/098wr', '/m/01k8wb', '/m/02jjt']",1,0.7707258656417849
UCpkZDD-I1yI83J-8HquwmbQ,gman4edl03,R,not set,458,100,"['/m/098wr', '/m/06bvp', '/m/05qt0']",1,0.8346660953655358
UCTD9uyL2JFFe2dZhg_1k7Eg,Carolyn Emerick,R,not set,5064,149,"['/m/098wr', '/m/04rlf']",1,0.7912762035559185
UCqGgM7CUK3N_fCf-hTalntA,franz karl,R,not set,4110,99,"['/m/06bvp', '/m/098wr', '/m/01k8wb']",1,0.5530255110663796
UCmYNfkf_77CzpeqQiIdNOcg,Миша Вацић,R,not set,327,99,"['/m/05qt0', '/m/098wr']",1,0.5184435992393154
UC_NPMpK-gZVIKqvDRljgbBA,NPI / Radix,R,US,13538,99,['/m/098wr'],1,0.65084187278389
UCiTOxJrTJY-KBbA2zdcUU8Q,David A.R. White,R,US,10406,98,"['/m/02vxn', '/m/02jjt']",1,0.27262678183732886
UC6xWDIPfQfSvGSAOSHH3-Ig,Forza Nuova,R,not set,1960,98,"['/m/05qt0', '/m/05qt0', '/m/098wr']",1,0.794896795526691
UCsjX_hz1WkGp1IFtsHEjWVA,ToniWienerle,R,not set,75,98,"['/m/098wr', '/m/0glt670', '/m/04rlf']",1,0.7174947410332279
UCwbHnJgrDWc26FDLIcE0THg,BayernDieFreiheit,R,not set,1351,96,"['/m/06bvp', '/m/098wr']",1,0.8243482286588744
UCnTBOhJFqN-yQeVp66lmSpg,Illuminatus Pythagoras,R,not set,3735,99,"['/m/04rlf', '/m/098wr']",1,0.49441978877535825
UCy-M_zNhWyiPMzZfNv3mtFw,Falk Hündorf,R,DE,1563,100,"['/m/04rlf', '/m/04rlf']",1,0.9104168840567086
UCwlWhFvWDvH9gIGDj-CAIlA,PNL Moldova,R,not set,77,95,"['/m/05qt0', '/m/098wr']",1,0.8020408163265306
UCJx0JIZTzs0shVvbDQc4tVQ,David McMurdo,R,GB,704,102,"['/m/06bvp', '/m/098wr']",1,0.6785291618465209
UC0tWWqYRoK7edl-wDi6y7uw,American Freedom Law Center,R,not set,1114,94,"['/m/06bvp', '/m/098wr']",1,0.46869535344908714
UCiKzR-h1jN6lJWtUYzTBJmw,Gulf City LIVE,R,US,52962,129,"['/m/0bzvm2', '/m/04rlf', '/m/02jjt']",1,0.7175968002311489
UCuB5tYCk0g7Zf8bKI61hRAg,Pegida Bayern,R,not set,106,93,"['/m/098wr', '/m/098wr']",1,0.8515814073298597
UCEwBDGZiAQIZL3AEf8VNbdQ,tolvajkergetok,R,not set,113995,92,"['/m/019_rr', '/m/098wr', '/m/06ntj']",1,0.7797634096486832
UCf55Y0TJMUGFUFiugqCIfLQ,atlantis49x,R,AQ,2059,92,"['/m/04rlf', '/m/04rlf', '/m/064t9']",1,0.7027149321266969
UC4FG2zUxPI2_MuF_AbDJY3Q,Project England Rising,R,GB,1079,92,"['/m/098wr', '/m/098wr', '/m/02jjt']",1,0.6210500083469186
UCUToCUpK5ZAH6S6ZXktfWEA,Michel Drac,R,not set,23398,93,"['/m/098wr', '/m/019_rr']",1,0.4491112034320271
UCXY4laB0vrcGiYS6XI6M6xA,Understanding the Threat,R,not set,7655,91,"['/m/098wr', '/m/06bvp', '/m/05qt0']",1,0.5833874169543466
UCOVSGQu1b59zw3sHPuQCMwA,X E L A S O M A,R,GB,3852,95,"['/m/04rlf', '/m/04rlf', '/m/098wr', '/m/02jjt', '/m/02lkt']",1,0.5982693842069136
UCOfQ0nZG7YClwNSaL-xULKQ,Herr Anwalt,R,DE,7536,95,"['/m/098wr', '/m/098wr', '/m/01k8wb', '/m/019_rr']",1,0.9971830985915493
UCyl-F8XJV0TGetIJsxBXrlg,Padanik,R,IT,1130,90,"['/m/05qt0', '/m/05qt0', '/m/098wr']",1,0.7657684066371732
UCcrgJyI1bSysVE92HPpNNiw,On The Offensive,R,GB,40094,91,"['/m/098wr', '/m/098wr', '/m/05qt0']",1,0.6265577876651899
UCoTdgNlg7OyVd0da85bk2Vg,Boston Antifa,R,US,4531,88,"['/m/098wr', '/m/019_rr', '/m/02jjt']",1,0.5806565325963188
UC7TbgYKGwb4hKevgYf2la_A,Jordan Crowder,R,not set,16119,87,"['/m/02jjt', '/m/04rlf']",1,0.44416669912495954
UC9TG2dCsiE2WRqdBL0rLVxw,Andrzej Duda,R,not set,10671,87,"['/m/05qt0', '/m/05qt0', '/m/098wr']",NA,NA
UCGvI9eLdPeMGGTTzWIISIaA,DerSARGON87 III,R,not set,1739,89,"['/m/01h6rj', '/m/04rlf', '/m/04rlf']",1,0.9053393876949972
UCweKS48H88ixllu5WHR6aKA,Politiekman,R,NL,1142,87,"['/m/05qt0', '/m/05qt0', '/m/098wr']",1,0.5230022717022224
UCFEweAPyAagYtAW49Ur0rug,Stanata Radulov,R,not set,17,87,"['/m/019_rr', '/m/05qt0', '/m/098wr']",1,0.6596638655462185
UC3oGLh9CkDQAuq0qADF7aVA,Kiz Kitler,R,not set,193,91,"['/m/0bzvm2', '/m/02jjt']",1,0.7814470044044837
UCJJniHyad24Lox_ioZVJfPA,PovertyCure,R,US,2663,86,"['/m/098wr', '/m/098wr']",1,0.49916876604856253
UCUa1yddTiDkumqduE_FmWzg,MindMastery,R,not set,5337,87,"['/m/098wr', '/m/0kt51', '/m/019_rr']",1,0.5140264267874941
UCQIikMy-olmc5_S2Vsvjw6Q,Constant Kusters,R,not set,362,89,"['/m/098wr', '/m/098wr', '/m/05qt0']",NA,NA
UCxSnjfh23Axn9WkAeJ_Ir-A,Dn Madrid Videos,R,not set,614,84,['/m/098wr'],1,0.8126892754386639
UCH2B7n4jiMx3gwMfmcm6w1g,Thrillseeker666,R,not set,665,83,"['/m/04rlf', '/m/02jjt']",1,0.47818180013566897
UCnoP34RMW-_lIS72sGKpL7w,DrzavaBosna,R,not set,3018,83,"['/m/098wr', '/m/098wr', '/m/05qt0']",1,0.3399023249928795
UCt1faX3Suw1lPOyzqsosb2A,Ladyofthe Labyrinth,R,not set,14397,83,"['/m/04rlf', '/m/04rlf']",1,0.5394075926804351
UCzT4QTSt9cnx9YZ0hLhqRcw,alpha News UK,R,GB,0,174,"['/m/05qt0', '/m/05qt0', '/m/098wr']",1,0.7188186852765025
UCzREuchzOqiawpEpvEM0Tyg,Apostate Prophet,R,US,63397,91,"['/m/06bvp', '/m/098wr']",1,0.6648824660768592
UCSFVD7Xfhn7sJY8LAIQmH8Q,Luke Ford Livestreams,R,not set,562,82,"['/m/098wr', '/m/019_rr']",1,0.6854881144106183
UC61qQBrHiNKprDXW5ZnLPyQ,Michelle Malkin,R,US,24762,81,"['/m/098wr', '/m/02jjt', '/m/05qt0']",1,0.33640104375332985
UCZ0_1gIlLhME6ZGZaucI4cA,Vive L'Europe,R,not set,9198,81,"['/m/019_rr', '/m/019_rr', '/m/04rlf']",1,0.5879401643359827
UCwc3Sdp4MRj8l72wFmOdS5w,Nicolaus Fest,R,DE,7858,84,"['/m/05qt0', '/m/05qt0', '/m/098wr']",1,0.8617946703455892
UCSwZXD3m1WpsBGmGqsgi8Ow,nvuvoorzitter,R,NL,485,75,"['/m/098wr', '/m/098wr', '/m/05qt0']",1,0.9556650246305419
UC_qq3bCifgLH02Sb-59p8Bg,Caleb Maddix,R,US,19541,81,"['/m/019_rr', '/m/098wr', '/m/02jjt']",1,0.384227212605445
UCXMq2RMdQGY04i8pcm4hUaA,Anton Slavik,R,IE,774,80,['/m/04rlf'],1,0.4583352024233916
UCYQNocWm-rzX6EULiasVh8g,Génération Identitaire,R,not set,9821,79,"['/m/05qt0', '/m/098wr', '/m/05qt0', '/m/04rlf']",1,0.6062837141615819
UCy08KfWx5l28OgtSWhjGx-g,Hagens HirnTicker,R,DE,10515,78,"['/m/098wr', '/m/098wr']",1,0.8907864958829121
UCDhuG96y6kUT7tcFgHGj1Ug,The Hateful Gaels,R,not set,872,78,"['/m/098wr', '/m/05qt0']",1,0.7208378232813749
UCzXRsrkjsdOO980sZfUHcbg,Xpall Odoc,R,not set,1870,77,"['/m/02jjt', '/m/02jjt', '/m/098wr', '/m/04rlf']",1,0.5726245579108082
UCbfz3ju-XaNzUy-T3lxsuWQ,HSPovci,R,not set,48,77,"['/m/01h6rj', '/m/05qt0', '/m/098wr']",1,NaN
