channel_name,leaning,channel_id
mental floss,L,UCpZ5qUqpW4hW4zdfuBxMSJA
meriam,R,UCv6cbRQFZQB2aXYHC5KjVJg
miracle,C,UCQ8fcZPe0l3tnYPgHlkHDmg
mlb,L,UCoLrcjPV5PbUrUyXq5mjc_A
mpr news,C,UChrfVRXVr1rieeZ4IIFJ7zQ
mtv,R,UCxAICW_LdkfFYwTqTHHE0vg
mw,C,UC6bVNAIo96LECsQJ2e6yu8w
nba,C,UCWJ2lWNubArHWmf3FIHbfcQ
nbc news,R,UCeY0bbntWzzVIaj2z3QigXg
nesn,R,UC8wGYEdL3bv1ZaN8l8xC_pQ
news.com.au,R,UCtWWry0cgjWi9C0Ye9sh6og
news24,L,UC_vRepQuzI527GtEP1pGYZw
nfl,R,UCDVYQ4Zhbm3S2dlz7P1GBDg
nick,L,UC6ufj77121qR9OMZ5BQO1Wg
north,R,UC-cSVgxqrXM1-IeD__WvrTA
nowthis news,R,UCn4sPeUomNGIr26bElVdDYg
obc news,R,UCpP1OVHb3pfZytCkdljEb6g
odn,R,UCME81PohuzT1JMCsEtvsD2w
ogb,C,UC4j-f_5P7ZiC4i-EeqIxNkA
own,R,UCKBnlTTgEnhIXv_c4LvvyMQ
ping,R,UCqDbbKM_yE8NR2fk3CFUi2g
quarks,C,UC1Y7onDsPyfP-lu--SXF-ew
rattler,R,UCeht2sK_XAysiI1kbzzwSrA
reasontv,R,UC0uVZd8N7FfIZnPu0y7o95A
republic world,C,UCwqusr8YDwM-3mEYTDeJHzw
rio,L,UCSLSQX6YiwKUX-iSDw3fffA
ripe,L,UCR3z2WipuYNVRjnSWCBdG-A
rise,L,UC5EtLmidKchvadyrEotfENg
rt,C,UCpwvZwUam-URkxB7g4USKpg
rudy,R,UC6kfohVQSkdFlrYBWWoj3HA
sabc,C,UCHENUm6Z3ty8xPayJ5kNc5g
salty,L,UCm31fnluYNRLCHpVT_Xa4sQ
sky news,L,UCoMdktPbSTixAyNGwb-UYkQ
swr,R,UCy4_zQ59zmS7zO4Dc6vbT_w
tati,R,UC4qk9TtGhBKCkoWz5qGJcGg
ted,R,UCAuUUnT6oDeKwE6v1NGQxug
tedxyouth,R,UC-yTB2bUcin9mmah36sXiYA
the daily wire,R,UCaeO5vkdj5xOQHp4UmIN6dw
the feed,L,UCTILfqEQUVaVKPkny8QRE0w
the quint,C,UCSaf-7p3J_N-02p7jHzm5tA
the ringer,R,UCT83YP07yVuaH9J19YABhlw
the root,R,UCg5bOg1qVoZ2JDJ7MmjY63A
the state,R,UC26DKudZ5F71qIR5FDKB-GQ
the straits times,C,UC4p_I9eiRewn2KoU-nawrDg
the verge,R,UCddiUEpeqJcYeBxX1IVBKvQ
the weekly,L,UCxBqIqcl2OHS2xDRNljAqoA
thoughty2,L,UCRlICXvO4XR4HMeEB9JjDlA
time life,R,UCV5MN13xFPXwJX3lzbCc6gQ
tlc,C,UCqf2gzmKtH3PaAbt-qgFFsw
tnt,R,UC1DZpQ2DDExws9Zvl7UcSkg
toronto star,R,UCWE58e_BbmBgE8h-oskutQA
tps,C,UCI4D2tSAiHqZBRB67nTKqww
trt world,R,UC7fWeaHhqgM4Ry-RMpM2YYw
tsn,R,UC--i2rV5NCxiEIPefr3l-zQ
tti,R,UCmeBJBLXcXamuPWl-0t5S4w
tvo,C,UCerKNh8xgFXstLdgVlikaxQ
vice news,R,UCZaT_X_mc0BI-djXOlfhqWQ
vito,R,UCm9MKnZdmwCAPXvmysjT33g
vn24,L,UC4D_rczPAAv1bbt61yw0Nxg
vvc,C,UChLlu51_sPZoFhdTG1uOKDQ
wdr,R,UCn7wWR5KnpX_N6ZaBNuyVYw
wfaa,C,UCBu0KdNokE4MqdkacvH37_A
world economic forum,L,UCw-kH-Od73XDAt7qtH9uBYA
wrb,C,UC-RPX4v5Sw7jWw523CQbKng
xos,R,UCZVCwRMF_pk68wQUttV558w
