video_id,pagerank
-nKhaM1bstA,3.209408723323639e-05
s331U0gBKQI,5.760270523110933e-05
0hX_msLfx6M,0.00023821276355463102
UeF_6UisoA0,5.97968215425121e-05
665RRraY8R8,4.847913722716489e-05
wl6QyJBHLLw,0.00013523970542641807
dpc6HJXfaA4,0.00014849609357786298
-d_HA2AYvus,0.00020709582825429894
9XDCT0hPUbE,0.00012632391220649704
53m5UAzhphM,0.00011625592970605359
CPC2iDc07S0,7.056261541270018e-05
Z-UIw8KHsZc,7.056261541270018e-05
W2ZwJgPeYbA,7.056261541270018e-05
YXomGTUyG6Y,9.336426407531601e-05
SbFOriN8he0,0.0001299567995315486
lFu53kb89-0,0.00014046959451619083
yXAtxbHEVZQ,0.0001561395029769831
COCjvUYGHNs,0.0001372384372569277
uMTI8OYwqYU,8.723118843089732e-05
KtmZnxszvLo,6.530246198991008e-05
kPlyqcarqpw,6.530246198991008e-05
hUg8hmLoMYQ,5.223526096270396e-05
AIMbAaueYew,5.223526096270396e-05
ptGkUATC1i4,9.123368532411308e-05
matC1lSVnno,5.223526096270396e-05
i4iFY1g0b5s,5.856871285982452e-05
_i_7TRbgSXE,5.856871285982452e-05
AbGMC2BINSo,8.975920756423774e-05
o-Q9e90rtfc,7.118004125890648e-05
1I1u2Jw_W44,0.0003364514067138093
VcLlJRzN6Cg,5.6931449302757184e-05
_mfJxCBNONs,5.067325353856766e-05
h9FWIM5LnlY,0.0003292377598504201
UZo8dbjOg70,5.067325353856766e-05
1z27bwyZ_-o,5.437802574504364e-05
YTfJGLDsEbk,5.437802574504364e-05
gJeU2cBTKKg,7.666196425685091e-05
RA3U09fNBNI,7.10925115946455e-05
DLGmgmh4BBU,5.7227505170907885e-05
weyq1qHDcSk,4.121765523718083e-05
KYLKZ04Ehpk,7.542073463277266e-05
1Yp91zKBGgY,0.00016741322256526173
dQfFKwffQ8k,6.488695596763776e-05
yYzWuwx7vXM,9.289376294427342e-05
5xInN-fZNnE,0.00013498289354931211
RhwLe-f5rYY,0.00010696783937918323
t1dFbQiIyAs,0.00012801559493658986
hc4xI6IGUeA,0.00012205537165327064
ieHCmmiYKIQ,0.00014116638128011037
_lcPhyMb5cc,0.00039369114203820086
oIIbKH2xB5A,8.224794234684306e-05
9BSl97FIMUE,0.00013588564108785704
FG9DxtjeNwg,0.00036861913707682395
O_gru1wW9Qw,3.209408723323639e-05
arRryQmN8rw,5.9464791245069734e-05
houcFHxDHHI,3.209408723323639e-05
v4jYoCxpWkE,0.0007658063246624793
dAdgZIDnu_s,0.0010051015935029252
I5DJ-05ZUKo,0.0014464515396318894
j6-q7SUFP6o,0.0009458694001837659
BR4KyIE3Mrg,0.0012879814589111436
hcSC-HittRM,0.0005894952471955947
-9JQndAAvLE,0.000993762240022683
xv9Y2Isnqi4,0.00037602324347486463
bh08la7J0_s,0.0003447595744014583
wfA4bZbK0mc,0.0024502264591318877
xducBSS0zwE,0.0006658789911745196
WpkU6skEW7c,0.00025021485786884
DQNP4kcc6Ys,0.0003520279353139843
aCOUZt2LUo0,0.00042689758170000357
