video_id,in_deg,out_deg
U3l1YhxeT2I,1,1
u2Rq22gchuY,1,1
wX78iKhInsc,1,1
rEg-ZNB3qyI,1,1
QA5fh29rhLs,24,1
blBnGGOFtZA,1,1
rGBoyLKaHB4,1,1
LWULB9Aoopc,1,1
wk3ZN7YXUro,1,3
RrTRgYc_AxA,2,3
iDGIzrvyOU4,6,3
AF5WmhiktJk,1,3
t4n400VXP3E,1,3
YqCKHeWk2TI,1,3
vHWuj0SWs84,1,2
zZetA8aEigo,1,3
kMFxrSJUWf4,6,3
2TmQZgwXi9Y,21,1
9Sfp7YVj1tM,4,2
SJCfdQ4T4oY,14,1
igqJdw1V-bs,4,3
5G6F8cVGoGw,3,2
dBOsuCy_360,1,3
2uaJ1D2tXOA,5,1
WVxDdBq5A50,10,1
nGA51ce1T9I,2,1
jL8uDJJBjMA,4,3
FgbCQMw5LOM,2,3
IDIr2rVaQaI,1,3
areWIpLgbuE,1,3
JsECHXGgvpA,2,3
gROcy_ZgAb0,1,1
iWLsZs_0DKY,1,2
xUIAHWpG-wE,5,1
56USRB_4ZJM,1,1
qP4qfJcob9s,1,1
9jRLG7rl0GY,1,1
01iSh4_Sr6U,2,1
oKI9bhGv0Jc,1,1
DQNP4kcc6Ys,2,1
35j7kXA8DLs,1,2
eslfjT8k-WQ,1,1
Q7_9131Ea8E,1,1
vXa0fWirT-8,2,1
Ep4DxxdD-zw,1,1
20NqRnLWLEo,1,1
43xTvpxWLW4,5,2
KBT7o0piZ8E,2,1
arSEALgiOr4,1,1
242jJtfDbbE,1,1
tl-Dkxv2w4A,1,1
VllyEXWf4kA,1,2
nQOpOvv2FCY,1,1
IrCQh1usdzE,7,1
144TR3ejIts,5,1
bXOWK-Vj7_M,2,1
ALdlphTYdi4,1,2
0uj6bDqAVJA,2,1
bO1r0s2mw1k,1,2
o8UzQr2l9YI,6,1
5pmSYvUmVhw,1,2
WsQ7ysVt-0A,1,1
VhQRCIIlYrk,1,2
Aafeem7lBIY,1,2
CR7tIdMN8MI,2,2
r4vK98dyyzs,1,2
C_bPO_YCw_o,1,1
XBQKvVb7q7M,2,1
hZrVyxkJDio,2,1
wWXFp6fWlqo,1,1
ALgw6jc3dbg,3,1
cavt_O2kFjE,6,1
brVc9pEVqP0,2,1
UBt3_UqWJdA,5,2
Euma9watYSw,2,2
kaQUYc2e5p8,1,1
rITblDjc3zg,3,1
r-ArRDiQgwA,2,2
0Wb8YRjjQSE,1,2
G3rF7weYttU,1,1
jxOSlxZQ-m0,2,1
NFvU5AGs02U,1,1
jl0WXd_kgPs,1,1
TwadpGdskCM,2,1
F0ZzwGSF6Zg,2,3
OuQZ19Om1JA,2,1
zkpiKqnT6YY,1,2
oNiEBnOzgVw,2,2
MJAdE3SszzY,2,2
0Clk19Lez10,2,1
YlO3AcQsYU8,1,1
N3Q8BAp7k4g,4,1
PW9buRgb2Hg,1,1
K42Gg9jQ8rE,1,1
Nhv4N6F47NE,2,2
x70_IskwKI4,1,1
Zy84rqWCblI,1,1
TLPFzVO7ATw,1,2
NYXZQ9BRiGw,2,1
U_8aUFxWHuk,1,1
mevVt5sHDNA,3,1
mEmRoAIcSb8,2,1
ngzQSaUggjY,3,2
ad-Kp4Lu6UI,15,2
Te7hLadBjmw,2,1
Sua45-VpRx8,1,2
lhULvm3TNl8,5,1
tEqzbE753IY,1,1
gT5SIvXx0TI,1,2
bscsWBEIzGM,2,1
JnNpQl8WR-s,1,1
D0MJul9CiU0,2,1
pvqP97INYfQ,1,1
yq3uVJQN8Gw,1,1
um40nauAuvg,1,2
S7xFtzT88dw,1,1
LVoZUBNPmO8,1,1
MK4Xo6mV9NE,2,1
IGbfJv1ia7c,1,2
v4qZB2ytq10,1,1
QoartHH3pJs,1,2
Gd0VfEG92LQ,3,1
Mkn0Pv_a-s8,1,1
80Ez3KO9fP4,1,2
wAPfNBqGTpM,1,1
pgiu1BGH0js,6,2
zNQsffKRFxQ,1,1
uFYVgCCFi-o,2,2
BxeZbuTCcMY,4,2
MjogCXKBx7Y,1,1
hlBSOJlu6SU,1,2
8n2Jj4UELLs,2,1
2TLf9s_lqHs,1,1
U9onI0MzmuI,4,1
vaZWztNtreo,1,1
UPhwu_0e0nU,1,1
V1yW5IsnSjo,2,1
J6JH4OGqIU0,1,1
SbUTHDxhmME,3,2
1sEuRHyJSDk,2,1
6OESUQ6XwJQ,1,1
GLKJzXrmo1s,1,1
qWIph_xlTbY,2,1
nNm3FrnAu60,1,1
hQx76WemmQg,7,1
58WdAa0wK4g,1,1
_-Wdwjlu9mY,1,3
n5rSIF2ZhiU,3,1
3xeM4l7_hs0,1,1
uQl-r3pqnnQ,1,2
6MYHBrJIIFU,1,1
zfSNUKJ9heU,1,2
APWLKxgVbz4,1,2
z9w-wzXJBww,1,1
IdHjiBE_cDk,1,1
wD8AwgO0AQI,2,2
B9W4lA2prG4,1,1
V-q4IVBrL0M,1,1
v7EBZ4PfjoI,1,1
3QU39UJ9Nf0,1,1
Tb49GofWCmU,2,1
dAdgZIDnu_s,4,1
kerLXag6w80,2,1
iHFcDFi2x3I,1,1
6ffRjzNsEJo,1,1
LHCOrCajxsk,1,1
MB9TvB7ermE,3,1
bYH992ynhdU,3,1
3eQFGT8FWBw,1,1
s6MwGeOm8iI,6,1
aw6RsUhw1Q8,9,1
yloELSWktYo,1,1
_p54toAS960,1,1
Z5RyMM5UoKI,1,1
-9JQndAAvLE,3,1
W2mB7u3f1qk,1,1
gR1csBWT5qw,7,3
cWiPROxS2HA,2,1
2dOAm_SlGh8,1,2
SBIckQnR7QA,2,1
n7FbkI9916k,1,1
XZYBLPykNaU,1,1
P_IBGS1FQw4,5,3
GigpxLNbgeg,1,1
YLuJrhUYOCE,1,2
2W1B7-xkqUs,3,1
bLObkZTi5TM,3,1
uKBDxOtCEuc,2,2
LnHxsjc2h8Y,1,1
ndxX_Lm7svM,2,1
q3HHGEblnWg,1,2
gITwepygAF0,1,1
Db6kthTi-0o,1,3
87qLWFZManA,5,1
LwQe4L9svUU,4,2
_mB13NV7rY0,1,1
jRp71BwRW8c,5,1
UOVyqR06roY,1,1
eEirzGD525I,1,2
PGnKcPbe7jY,1,1
pomG8c-DrfA,1,1
uLdO2UeKwyE,1,2
vN3bjlDVggI,1,1
XQro9BAcR7Y,1,2
1q62a7jQcwM,1,1
JZlzE1eA4xA,1,1
ZLsT4xSS1mY,1,1
Yta24sJqhXQ,1,3
3h-1h168Blo,1,1
wJB90G-tsgo,8,1
R7bkBD_EXOI,1,1
OC_6WqXA1ps,3,1
eh5VcbLHMeI,1,1
Vx8ukR1iSl8,3,1
wEaAUZfe8bY,2,1
btF6nKHo2i0,2,1
1HI_woehm0Q,1,1
FEXL5USuDGI,7,2
FzTKUgpbMpY,2,1
9hdMO1cNNuw,1,1
6EFsbdgO0lQ,1,3
E13lAisF4PA,1,2
2YdIZOeTpJ4,1,3
j3pdNPYRvwk,2,1
TH_oZ2cyDK0,1,2
vuIlsN32WaE,10,1
yoAz6o4bUIA,1,1
YxU2zxNVyzg,1,1
-ILmplldm_A,1,1
5cbM4MmgDfU,1,1
Y7ItyA3PPxs,1,1
tic7X3ET4gE,1,1
FO0iG_P0P6M,1,1
XpKboaGPVo4,1,1
fHYg92bwCas,1,1
Rgo8A_bQI70,1,1
KUF3-SNcdgg,1,3
ktQzM2IA-qU,6,3
aZ9ETf-lB74,1,2
zZYonocPpMg,1,1
_kH4mWBvSiI,1,1
GWB6XjREpiQ,1,1
R_2sQ53GRI4,1,1
d5wfMNNr3ak,2,1
-_QTZU0e1_s,1,1
v_ONFix_e4k,2,2
5yzVAxIKKbI,1,1
