parent_channel,child_channel,out_deg
92nd Street Y,"['Commonwealth Club', 'Crooked Media', '92nd Street Y', '92nd Street Y', 'OCCCedu', 'iqsquared', 'Film Independent', 'Daniel Poitras']",13
99U,"['Simon Sinek', 'Tom Ferry']",13
9NEWS,"['ABC News', 'CBS News']",13
9Nania,"['The Final Days', '9Nania', '9Nania', '9Nania']",13
9anas Arabe Pro,"['THE MAGNUM', 'Ultimate Night Vision']",13
A & Ω Productions,"['AoC Network', 'A & Ω Productions', 'A & Ω Productions', ""Jesus' Word""]",13
A Current Affair,"['A Current Affair', 'A Current Affair', 'True Crime Daily', 'A Current Affair']",13
A Million Movies,"['unkstur', 'Short Film']",13
A Moron In The Woods,"['Auditing America', 'CONSTITUTION COWBOY']",13
A Thing Gaming,"['Grey Disciple', 'A Thing Gaming']",13
A&E,"['Tulasi Pawlak', 'A&E', 'Huckelberry Auditor', 'BGIL847 Sneakers by Kaplan', 'A&E', 'A&E', 'A&E', 'A&E', 'A&E', 'A&E', 'A&E', 'MTV', 'A&E', 'A&E']",13
A- Political,"['Commonwealth Club', 'CNN', 'A- Political', 'ESPN']",13
A.B. Hay,"['Timeline - World History Documentaries', 'Master Huon Damebrigge']",13
A1 Aptitude,"['A1 Aptitude', 'A1 Aptitude', 'A&E', 'Mike The Cop', 'A1 Aptitude', 'A&E']",13
AARP,"['TED', 'CBS']",13
AB Network,"['Yalin 131994', 'AB Network']",13
ABC,"['The Kennedy Center', 'BBC']",13
ABC 6 On Your Side l WSYX-TV,"['Wall Street Journal', 'CBS Los Angeles']",13
ABC Action News,"['NJ.com', 'Trukluver']",13
