parent_channel,child_channel,out_deg
UC-T2DM0GilOgYh9BrlvZZfA,['UCsgNKlZ1WQh4Lnyxplwa_ww'],13
UC-UQx71pRKynkXcYVEmbbUg,"['UCHBDXQDmqnaqIEPdEapEFVQ', 'UCKWp94n8lgYapEzN8-mqZmA']",13
UC-V6odR7HzLCuqjYeowPjLA,"['UCWQ9ZFFhEqUZ0r1IspnBm6Q', 'UCn0OkeW4lBi88evVw4Cbqow']",13
UC-WcWsBBDtkXEMzL81f_Ytw,['UCYLR1ghzYNyvfjw78raCuxA'],13
UC-XByv4YD6jzp-c1bNCPJjw,['UC-XByv4YD6jzp-c1bNCPJjw'],13
UC-YtQFseD_gZZGdyVQi4z4w,['UCigPwB_DERbV5BlwV4OY9mw'],13
UC-ZA3QN2nDmqOSujn8zvNjw,['UClzASzl0QscSsxB9HvscKWQ'],13
UC-ZmyJ0WGDZTcldQ92yV8Dw,['UCcXSxUPA94pquoguSTlT0KA'],13
UC-_KiH_Z2yerhAD_cAjAMOA,"['UC-_KiH_Z2yerhAD_cAjAMOA', 'UC-_KiH_Z2yerhAD_cAjAMOA', 'UCYd0us2OtW4d4-1cfpT2ktw', 'UCYd0us2OtW4d4-1cfpT2ktw', 'UC9JFQLYwBImLPkhuNFPWCLQ', 'UC-_KiH_Z2yerhAD_cAjAMOA', 'UCuDTc9ztKJbsI6yleL3W2Vg', 'UC-_KiH_Z2yerhAD_cAjAMOA']",13
UC-aB7UkyJBcAhbAWUNFUAaQ,['UC3ScyryU9Oy9Wse3a8OAmYQ'],13
UC-aJFR1Br26zYgtkvOZuIlA,"['UC-aJFR1Br26zYgtkvOZuIlA', 'UC-aJFR1Br26zYgtkvOZuIlA', 'UC-aJFR1Br26zYgtkvOZuIlA', 'UC4QZ_LsYcvcq7qOsOhpAX4A', 'UC9rf6ZKg_pK-XWAdChls8Gw', 'UC4f_dFwCwGg5YD43pa9dI6A']",13
UC-cg1QvpoMyvKew20KDphPQ,['UCWqDSDhxUStUFx-fleyVfgg'],13
UC-fClgS3qKh_DbJo34MoCuA,"['UC0L1suV8pVgO4pCAIBNGx5w', 'UCMV3aTOwUtG5vwfH9_rzb2w', 'UC-fClgS3qKh_DbJo34MoCuA', 'UC-fClgS3qKh_DbJo34MoCuA', 'UC-fClgS3qKh_DbJo34MoCuA']",13
UC-hXefb6XBFSubWz6Ezf_lA,"['UCQo7Kkt6UOnPP114Xwi5Qeg', 'UC-hXefb6XBFSubWz6Ezf_lA']",13
UC-k-O6psaHBwJvjsT65CUpA,['UCupvZG-5ko_eiXAupbDfxWw'],13
UC-kn_f4T1gLwR7m1LfY0XyA,"['UC0L1suV8pVgO4pCAIBNGx5w', 'UC69uYUqvx-vw4luuX7aHNLQ', 'UC-kn_f4T1gLwR7m1LfY0XyA']",13
UC-oku1_VvM3cA6VC4PBKmAA,['UCS9S4k5K1iFc6CTlqvBwRrw'],13
UC-q_lRDPYgC-QE8T89BI0Ew,['UC0VQlNjg1RbLrUgeg3rQZIw'],13
UC-qo_Gf0CUtORzHfDzHKgYw,"['UCj7D1b8suhVo-s7vIY_Ezpg', 'UCHb3cj2VXjAXC-mKZsRRspg']",13
UC-scdKqFQl17mFqs9jKVV1w,"['UC-jtKi237oIemxivJ6FWJEA', 'UC0JcuSIihjT8N87teyW2oFA']",13
UC-y7jEV3bOy13T5kRSLmBnQ,"['UCou6pqxzTSYf8t-ISPmeQQw', 'UCowZDa4XpPxj4NOiFNUCnqg', 'UC-y7jEV3bOy13T5kRSLmBnQ', 'UCYenDLnIHsoqQ6smwKXQ7Hg']",13
UC-yTB2bUcin9mmah36sXiYA,['UCBs5YS0JTDAU5hwN9bGVk_A'],13
UC-ytbJWLTKKbwm0N-i0lZGQ,"['UC88lvyJe7aHZmcvzvubDFRg', 'UCpP1OVHb3pfZytCkdljEb6g']",13
UC01E0uy0eRUFJs71fc2XvMQ,"['UCKE4XUZoB-UiTHjYM0Ih4VQ', 'UCfHqauj9ioqlqQeSgF3bG1A']",13
UC01ba_7rBf9xOEz5tJlPDSQ,"['UC01ba_7rBf9xOEz5tJlPDSQ', 'UC4PziMH5MvvsmqM0VCZTy-g', 'UC4PziMH5MvvsmqM0VCZTy-g']",13
UC02-B1pxlhBBgaLI77qqmeA,"['UCTLrbUN8W0S4BDruToEtVQA', 'UC02-B1pxlhBBgaLI77qqmeA', 'UCC76FBg2d-5NWFD8aK4ql5A', 'UCEyr6FYPqXj3agOBSBPyLWw']",13
UC03uDwvT6Jy2YjYJAsU4J7g,"['UCEs-zSwH2NYGskxF-ptoT1w', 'UCUtZaxDF3hD5VK4xRYFBePQ']",13
UC04KsGq3npibMCE9Td3mVDg,['UCuFFtHWoLl5fauMMD5Ww2jA'],13
UC04Z9R7MUYj32ENFFJwFd0w,"['UCyAAKSMgyJ_bfl4nzsUwibw', 'UC04Z9R7MUYj32ENFFJwFd0w', 'UC04Z9R7MUYj32ENFFJwFd0w']",13
UC07b5Bof5Z3PMJHG4zQyo9A,['UCgDSF6FpenGam-wH747f1iw'],13
UC08wrceRCWhajGG4udhETww,"['UC08wrceRCWhajGG4udhETww', 'UCcIi3sVCxPcjKUcqLQ39VOw', 'UC69uYUqvx-vw4luuX7aHNLQ', 'UC08wrceRCWhajGG4udhETww', 'UC08wrceRCWhajGG4udhETww', 'UC08wrceRCWhajGG4udhETww', 'UC08wrceRCWhajGG4udhETww', 'UCL8-Qg6Q6t3sjQ5WEGLkTJg', 'UCzsjdZCJE4vTJhv08y8u8hg']",13
UC0A2Lk1jcr0FYgdx74iuFiw,['UCE5IHywtKYHcTGfr0AUB1Mw'],13
UC0DchRNXP5DV4jmAD0yV87w,"['UCcsja3nlq2R1belenHR0j0Q', 'UCTEHrAycIlIdXV64V-BtWoQ', 'UCqGcIbsYcX4l8-z9bu46okw', 'UCiEbRbR2F34dORnT0faWFXw']",13
UC0EXXrNjDrkMgEV66oPQE9Q,"['UC0EXXrNjDrkMgEV66oPQE9Q', 'UCYY0LLzDTDjaZt2bRX3gvJQ']",13
UC0FGRwdNmP4bfiFAkeJjAhw,"['UCcRHaW6zxZJaHfQBkOnBaZg', 'UC7CjVa3XWYHYxJ2GndQBgug']",13
UC0G2XnXhO8SA0CGvxQUawEA,"['UCv9o-ocsGAWdGznovmwquqQ', 'UC0G2XnXhO8SA0CGvxQUawEA', 'UCecPJBL6E1PVky1-gj6KH5g', 'UCz9MMrtakxGmoA4R29opEZA']",13
UC0GXCMA5XFQuPwd0F5ekj4A,['UCDN6NO-2iEXRbjO9m2xQq1A'],13
UC0HwLU0nqctFyNJOu6giV0Q,['UCx6J6eDAG1-Mg_KB-rwd28Q'],13
UC0JcuSIihjT8N87teyW2oFA,['UCb8aL0i9LJw_6DCk2YTH1Yg'],13
UC0L1suV8pVgO4pCAIBNGx5w,"['UC0L1suV8pVgO4pCAIBNGx5w', 'UC0L1suV8pVgO4pCAIBNGx5w', 'UC0L1suV8pVgO4pCAIBNGx5w', 'UC0L1suV8pVgO4pCAIBNGx5w', 'UC0L1suV8pVgO4pCAIBNGx5w', 'UC0L1suV8pVgO4pCAIBNGx5w', 'UCBi2mrWuNuyYy4gbM6fU18Q', 'UCn_XS9lTZxm-PUTmjSkzTwg', 'UCn_XS9lTZxm-PUTmjSkzTwg', 'UCn_XS9lTZxm-PUTmjSkzTwg', 'UCo4xFowosALQR6A_uoqNNXw', 'UC0L1suV8pVgO4pCAIBNGx5w', 'UCE5IHywtKYHcTGfr0AUB1Mw', 'UC69uYUqvx-vw4luuX7aHNLQ', 'UCnoUKype0fVkWtCleYWBT1w', 'UC69uYUqvx-vw4luuX7aHNLQ', 'UC69uYUqvx-vw4luuX7aHNLQ', 'UC69uYUqvx-vw4luuX7aHNLQ', 'UC0L1suV8pVgO4pCAIBNGx5w', 'UC0L1suV8pVgO4pCAIBNGx5w', 'UC69uYUqvx-vw4luuX7aHNLQ', 'UCoMdktPbSTixAyNGwb-UYkQ', 'UCM2YmsRUeIbRkqjgNm0eTGQ', 'UC0L1suV8pVgO4pCAIBNGx5w', 'UC7VsOnSlFStnSL-iAgGTMZA', 'UCkW0n1Bd2wvxPFSlxQwqwdA', 'UCboXL7YhH46voDZjM3zseBg', 'UCAuUUnT6oDeKwE6v1NGQxug', 'UCu4XcDBdnZkV6-5z2f16M0g', 'UC6t9VvQ4CDQKUO1xlTztOPA', 'UCzzfu83LhPMMuhtDVA75rfw', 'UC0L1suV8pVgO4pCAIBNGx5w', 'UC69uYUqvx-vw4luuX7aHNLQ', 'UC0L1suV8pVgO4pCAIBNGx5w', 'UC88lvyJe7aHZmcvzvubDFRg', 'UCGbI_iDmzUAS55mSKgV3nbQ', 'UCcsja3nlq2R1belenHR0j0Q', 'UCcjoLhqu3nyOFmdqF17LeBQ', 'UCfwx98Wty7LhdlkxL5PZyLA', 'UC0L1suV8pVgO4pCAIBNGx5w', 'UCVgO39Bk5sMo66-6o6Spn6Q', 'UC0L1suV8pVgO4pCAIBNGx5w', 'UCuFFtHWoLl5fauMMD5Ww2jA', 'UC0L1suV8pVgO4pCAIBNGx5w', 'UCGpy4V50jlf3skLjPXmtx_Q', 'UC0L1suV8pVgO4pCAIBNGx5w', 'UC0L1suV8pVgO4pCAIBNGx5w', 'UCVgO39Bk5sMo66-6o6Spn6Q', 'UC6my_lD3kBECBifeq0n2mdg', 'UCSgeCjcPYYZXR62Cykv43sA', 'UCSgeCjcPYYZXR62Cykv43sA', 'UC0L1suV8pVgO4pCAIBNGx5w', 'UC0L1suV8pVgO4pCAIBNGx5w', 'UC0L1suV8pVgO4pCAIBNGx5w']",13
UC0LsICeLrddiwpAg1dqWpqA,"['UC0LsICeLrddiwpAg1dqWpqA', 'UC0pUeBkuuE1BswZsTbUowZg']",13
UC0P2qLWspUAkr8zvk4kWHQg,['UCIXZxmIRN81TdsMxVlgIfnQ'],13
UC0PRUDfs_19NqggXrgVedEQ,"['UCvhPRRiwI1_p4OBsY0yz6mg', 'UCsSLntETD5QpPbWhRCbh6lQ']",13
UC0PXqiud6dbwOAk8RvslgpQ,"['UCL_sTa-1aWSdkPbxWEELusQ', 'UCsAegdhiYLEoaFGuJFVrqFQ']",13
UC0QQwBj2HOVO01rssMB96IA,['UCc1ufNROdAxto9Fr0jnEE2Q'],13
UC0SYKquo4_Yi9Z9Xz3We2Bw,"['UC0SYKquo4_Yi9Z9Xz3We2Bw', 'UC7xXgdp_IJDASe1guOTAfCA', 'UC6wBro4B4pf9xnBh9Xi2zcQ']",13
UC0TpHUvb9fAWcttDccmKouw,['UCdDM6kDdl3ydcfOdasGMo0A'],13
UC0Um3pnZ2WGBEeoA3BX2sKw,"['UC1M1MjhSviZAKNqVSy4uyJQ', 'UCuyRsHZILrU7ZDIAbGASHdA', 'UCztbFRVm8F2MxFNKoND-jgQ', 'UCztbFRVm8F2MxFNKoND-jgQ']",13
