parent_channel,child_channel,out_deg
ABC News,"['PBS NewsHour', '60 Minutes Australia', '60 Minutes Australia', 'PBS NewsHour', 'FRONTLINE PBS | Official', 'Jimmy Kimmel Live', 'Late Night with Seth Meyers', 'Late Night with Seth Meyers', 'Chelsea', 'Trevor Noah', 'Trevor Noah', '100huntley', 'Smithsonian Channel', '48 Hours', '48 Hours', 'ABC News', 'ABC News', 'ABC News', 'ABC News', 'ABC News', 'ABC News', 'ABC News', 'ABC News', 'ABC News', 'ABC News', 'ABC News', 'ABC News', 'ABC News', 'ABC News', 'ABC News', 'ABC News', 'ABC News', 'ABC News', 'ABC News', 'ITV', 'ITV', 'OWN', 'ABC News', 'ABC News', 'MSNBC', 'ABC News', 'Raffy Tulfo in Action', 'ABC News', 'ABC News', 'ABC News', 'ABC News', 'ABC News', 'NJ.com', ""Dragons' Den"", 'Mark Rober', 'Mark Rober', 'The X Factor UK', 'Fox News', 'Fox News', 'Fox News', 'TODAY', 'OWN', '60 Minutes Australia', 'The ACE Family', 'Los Angeles Times', 'Face the Nation', 'Hoovies Garage', 'BBC America', 'The Globe and Mail', 'CBS News', 'James Charles', 'Riding Zone', 'FaZe Rug', 'DW Documentary', 'Johnny Carson', 'Johnny Carson', 'Good Morning America', 'Fox News', 'OWN', 'CBS', 'CBS Sunday Morning', ""America's Got Talent"", ""America's Got Talent"", ""America's Got Talent"", 'True Crime Daily', 'True Crime Daily', 'ABC News', 'ABC News', 'ABC News', 'Mraviationguy', 'Dateline NBC', '60 Minutes', 'VICE', 'Washington Watch', 'CNBC', 'The Late Show with Stephen Colbert', 'Trevor Noah', 'InstituteForJustice', 'ABC News', 'CBS This Morning', 'Linus Tech Tips', 'WSLS 10', 'X Factor Global', 'CBC News', 'Reel Truth History Documentaries', 'ABC News', 'ABC News', 'The Telegraph', 'KCPT', 'National Geographic', 'ABC News', 'OpenLearn from The Open University', 'OpenLearn from The Open University', 'NASA Armstrong Flight Research Center', 'Channel 4', 'Late Night with Seth Meyers', 'ABC News', 'Looper', 'Studio 10', 'Inside Edition', 'ABC News', 'Jimmy Kimmel Live', 'NBC News', 'The Late Show with Stephen Colbert', 'CBS This Morning', 'England & Wales Cricket Board', 'NBC News', 'CBC News', 'Dateline NBC', 'The View', 'CBSN', 'ABC News', 'Fox News', 'ABC News', 'truTV', 'ABC News', 'ABC News', 'FOX 9 News | KMSP-TV Minneapolis-St. Paul', 'CNN', 'ABC News', 'CBS News', 'Fox News', 'ABC News', 'ABC News', 'CNN', 'DW News', 'Free High-Quality Documentaries', 'Free High-Quality Documentaries', 'CBS This Morning', 'Strombo', 'Fox News', 'Washington Post', 'ABC News', 'Steve TV Show', 'OWN', 'ABC News (Australia)', 'Theosophical Society', 'The View', 'CBS News', 'ABC News', 'Timeline - World History Documentaries', 'USA TODAY', 'ABC News', '92nd Street Y', 'ABC News', 'The New Yorker', 'ABC News', 'ABC News', 'CBS', 'ABC News', 'Bloomberg', 'ABC News', 'CNN', 'CNN', 'NBC News', 'Georgetown University', 'Georgetown University', 'ESPN', 'ABC News', 'CBS Sunday Morning', 'FOX 5 Atlanta', '60 Minutes', 'Denver7 – The Denver Channel', 'CBS This Morning', 'ABC News', 'Wall Street Journal', 'Good Morning America', 'TheEllenShow', 'FRANCE 24 English', 'CNN Business', 'Face the Nation', 'CBS 17', 'BBC Studios', 'The Telegraph', 'ABC News', 'ABC News', 'ABC News', '60 Minutes Australia', 'thenetworkone']",13
ABC News (Australia),"['FRONTLINE PBS | Official', 'ABC News (Australia)', 'ABC News (Australia)', 'ABC News (Australia)', 'ABC News (Australia)', 'ABC News (Australia)', 'ABC News (Australia)', 'ABC News (Australia)', 'ABC News (Australia)', 'ABC News (Australia)', 'ABC News (Australia)', 'ABC News (Australia)', 'ABC News (Australia)', 'Good Morning Britain', 'ABC News (Australia)', 'Reel Truth History Documentaries', 'GoPro', 'OWN', 'ABC News', 'ABC News (Australia)', 'ABC News (Australia)', 'ABC News (Australia)']",13
ABC Science,"['CBC News: The National', 'Burke Museum']",13
ABC10,"['Timeline - World History Documentaries', 'MLB', 'CBS This Morning', 'vpro documentary']",13
ABC11,"['60 Minutes', 'The Telegraph']",13
ABN Telugu,"['ABN Telugu', 'ABN Telugu']",13
ABP NEWS,"['Jimmy Kimmel Live', 'BBC News Hindi', 'ABP NEWS', 'Zee News', 'ABP NEWS', 'Liberal Party of Australia']",13
ABP NEWS HINDI,"['ABP NEWS HINDI', 'ABP NEWS HINDI']",13
ABS-CBN Entertainment,"['ABS-CBN Entertainment', 'Idol Philippines', 'ABS-CBN Entertainment', 'Bisdak TV', 'ABS-CBN Entertainment', 'ABS-CBN Entertainment', 'HOT MNL', 'ABS-CBN Entertainment', 'ABS-CBN Entertainment', 'ABS-CBN Entertainment', 'ABS-CBN Entertainment', 'ABS-CBN Entertainment', 'ABS-CBN Entertainment', 'ABS-CBN Entertainment', 'ABS-CBN Entertainment', 'ABS-CBN Entertainment', 'ABS-CBN Entertainment', 'Vice Ganda ABS-CBN', 'Aida Coleman', 'ARY News', 'Vice Ganda ABS-CBN', 'Kapamilya Trending', 'Kapamilya Trending', 'ABS-CBN Entertainment', 'Kapamilya Trending', 'Kapamilya Trending', 'ABS-CBN Entertainment', 'ABS-CBN Entertainment', 'ABS-CBN Entertainment', 'ABS-CBN Entertainment', 'ABS-CBN Entertainment', 'ABS-CBN Entertainment', 'Fili Koreana TV', 'ABS-CBN Entertainment', 'ABS-CBN Entertainment', 'ABS-CBN Entertainment', 'ABS-CBN Entertainment', 'ABS-CBN Entertainment']",13
ABS-CBN It's Showtime,"[""ABS-CBN It's Showtime"", 'ABS-CBN Entertainment', 'Vice Ganda ABS-CBN', ""ABS-CBN It's Showtime"", ""ABS-CBN It's Showtime"", 'ABS-CBN Entertainment', 'Rappler', ""ABS-CBN It's Showtime"", 'ABS-CBN Entertainment', 'YouTube Movies', 'ABS-CBN Entertainment', 'ABS-CBN Entertainment']",13
