name,leaning,url
ap,C,NA
apm-reports,L,https://www.apmreports.org/
aptn-news,C,NA
aquinas-college-saint,L,NA
ara-news,L,http://aranews.net/
arab-news,R,http://www.arabnews.com/
areo-magazine,L,https://areomagazine.com
argus-leader,R,https://www.argusleader.com
arizona-capitol-times,C,https://azcapitoltimes.com/
arizona-daily-independent,R,https://arizonadailyindependent.com
arizona-daily-star,L,http://tucson.com/
arizona-daily-sun,L,http://azdailysun.com
arizona-republic,R,http://www.azcentral.com/
arkansas-democrat-gazette,R,http://www.arkansasonline.com/
arkansas-times,L,https://www.arktimes.com
armstrong-economics,R,https://www.armstrongeconomics.com
army-times,C,https://www.armytimes.com
arutz-sheva-israel-national-news,R,http://www.israelnationalnews.com/
asharq-al-awsat-2,R,https://aawsat.com/english/
asheville-citizen-times,L,http://www.citizen-times.com/
asia-sentinel,L,https://www.asiasentinel.com/
asia-times,C,http://www.atimes.com/
asian-correspondent,L,https://asiancorrespondent.com/
asian-news-international-ani,C,https://www.aninews.in
associated-press,C,https://apnews.com/
assyrian-international-news-agency,R,http://www.aina.org/
atavist-magazine,L,https://magazine.atavist.com/
atlanta-black-star,L,http://atlantablackstar.com/
atlanta-journal-constitution,L,http://www.ajc.com/
atlantic,L,NA
atlantic-council,C,http://www.atlanticcouncil.org/
atlantic-media,L,http://www.atlanticmedia.com/
attn,L,http://www.attn.com/
aurora-news,R,http://aurora-news.us/
austin-american-statesman,L,http://www.statesman.com/
autostraddle,L,https://www.autostraddle.com/
axiom-news-network,R,http://axiomnewsnetwork.com
axios,L,https://www.axios.com/
backchannel,L,https://backchannel.com/
backed-by-fact,L,http://backedbyfact.com/
balkan-insight,L,https://balkaninsight.com/
ballotpedia,C,https://ballotpedia.org/Main_Page
baltimore-city-paper,L,http://www.citypaper.com/
baltimore-sun,L,http://www.baltimoresun.com/
bangor-daily-news,L,http://bangordailynews.com
banned-information,R,http://bannedinformation.com
baptist-news-global,L,https://baptistnews.com/
bare-naked-islam,R,https://www.barenakedislam.com/
barnstable-patriot,C,NA
barrons,R,https://www.barrons.com
battle-creek-enquirer,L,https://www.battlecreekenquirer.com
battlefords-news-optimist,C,http://www.newsoptimist.ca
bay-area-reporter,L,http://www.ebar.com/
bb4sp,R,http://bb4sp.com/
bbarta24,C,http://en.bbarta24.net/
bbc,L,http://www.bbc.com/news
bbc-news,C,NA
bdnews24,C,http://bdnews24.com/
bearing-arms,R,https://bearingarms.com/
bearing-drift,R,NA
beaware,R,http://www.beaware.one
before-its-news,R,http://beforeitsnews.com/
beijing-review,L,http://www.bjreview.com/
being-liberal,L,https://www.themaven.net/beingliberal
being-libertarian,R,https://beinglibertarian.com/
beliefnet,R,http://www.beliefnet.com
belleville-news-democrat,C,https://www.bnd.com/
bellingcat,C,https://www.bellingcat.com/
berkeleyside,L,http://www.berkeleyside.com
berkshire-eagle,L,http://www.berkshireeagle.com/
better-government-association,C,http://www.bettergov.org/
big-blue-vision,R,http://bigbluevision.org/
big-government-news,R,http://biggovernment.news/index.html
big-league-politics,R,http://bigleaguepolitics.com/
big-news-network,C,https://www.bignewsnetwork.com
big-think,C,https://bigthink.com/
billings-gazette,R,http://billingsgazette.com
billmoyers-com,L,http://billmoyers.com/
biloxi-sun-herald,C,NA
bing-news,L,https://www.bing.com/news
bipartisan-policy-center,R,https://bipartisanpolicy.org
bipartisan-report,L,http://www.bipartisanreport.com/
birmingham-mail,L,http://www.birminghammail.co.uk
bismarck-tribune,C,http://bismarcktribune.com
bitch-media,L,https://bitchmedia.org/
bizpac-review,R,http://www.bizpacreview.com/
black-agenda-report,L,http://blackagendareport.com/
black-genocide,R,http://www.blackgenocide.org/home.html
black-lives-matter,L,http://blacklivesmatter.com/
black-pigeon-speaks,R,http://blackpigeonspeaks.com/
blastingnews,L,http://us.blastingnews.com/
bleed-red-white-blue,R,http://ibleedredwhiteblue.com/
blingnews-com,R,http://www.blingnews.com
bloomberg,L,https://www.bloomberg.com/
blue-dot-daily,L,http://www.bluedotdaily.com/
blue-informer,R,http://blueinformer.com
blue-lives-matter,R,http://bluelivesmatter.blue/
blue-nation-review,L,http://bluenationreview.com/
blue-state-daily,L,https://bluestatedaily.com
blue-tribune,L,http://bluetribune.com/
blue-virginia,L,NA
blue-vision-post,R,http://bluevisionpost.com/
bluestem-prairie,L,http://www.bluestemprairie.com/
bluevision-news,R,http://bluevision.news/
blunt-force-truth,R,https://bluntforcetruth.com
bno-news,C,http://bnonews.com/
boing-boing,L,http://boingboing.net/
borderland-alternative-media-bam,R,http://borderlandalternativemedia.com/
boston-globe,L,https://www.bostonglobe.com/
boston-herald,R,http://www.bostonherald.com/
boston-herald-editorial,R,NA
boston-review,L,http://bostonreview.net
bowling-green-daily-news,L,NA
boy-genius-report-bgr,L,http://bgr.com/
bozeman-daily-chronicle,C,NA
brampton-guardian,L,https://www.bramptonguardian.com
breaking-defense,R,http://breakingdefense.com/
breaking911,R,http://breaking911.com
breakingnews247-net,R,http://www.breakingnews247.net/
breakingtop-world,R,http://breakingtop.world/
breakthrough-institute,R,https://thebreakthrough.org
breitbart,R,http://www.breitbart.com/
breitbart-unmasked,L,http://www.breitbartunmasked.com/
brennan-center-for-justice,L,https://www.brennancenter.org/
brexitcentral,R,http://brexitcentral.com
bridge-magazine,C,http://www.bridgemi.com
brief-news,C,http://www.brief.news/
britain-first,R,http://www.britainfirst.tv/
brookings-institute,L,https://www.brookings.edu/
buenos-aires-times,R,http://www.batimes.com.ar
buffalo-news,L,http://www.buffalonews.com/
bulletin-of-the-atomic-scientists,C,http://thebulletin.org/
bullshido,C,http://www.bullshido.net/
burnett-county-sentinel,C,http://www.burnettcountysentinel.com
business-2-community,C,http://www.business2community.com/
business-insider,L,http://www.businessinsider.com/
businesslive,R,https://www.businesslive.co.za
bust-magazine,L,http://bust.com/
bustle,L,NA
bustle-magazine,L,https://www.bustle.com/
buzzfeed,L,https://www.buzzfeed.com/news
buzzfeed-news,L,NA
c-span,C,http://www.c-span.org/
cadiz-record,L,NA
calgary-herald,L,http://calgaryherald.com/
calgary-sun,R,http://www.calgarysun.com/
california-globe,R,NA
california-political-review,R,http://www.capoliticalreview.com/
calmatters,C,NA
calwatchdog,C,NA
calwatchdog-com,L,https://calwatchdog.com
cambridge-analytica,R,https://ca-political.com
campaign-for-liberty,R,http://campaignforliberty.org/
campaign-life-coalition,R,http://www.campaignlifecoalition.com/
campus-reform,R,https://www.campusreform.org
canada-free-press,R,http://canadafreepress.com/
canadaland,L,http://www.canadalandshow.com
canadian-dimension,L,https://canadiandimension.com/
canadian-jewish-news-cjn,R,http://www.cjnews.com/
canadian-public-affairs-channel-cpac,C,http://www.cpac.ca/
canadian-taxpayers-federation,R,http://www.taxpayer.com/
canyon-county-zephry,L,NA
cape-cod-times,C,http://www.capecodtimes.com
capital-gazette,L,http://www.capitalgazette.com/
capital-main,L,https://capitalandmain.com
capital-research-center,R,https://capitalresearch.org/
capitol-fax,C,https://capitolfax.com
carbonated-tv,L,http://www.carbonated.tv/
care,L,NA
care2,L,https://www.care2.com
caribbean-life-news,L,https://www.caribbeanlifenews.com/
carnegie-endowment-for-international-peace,C,http://carnegieendowment.org/
carolina-public-press,L,http://carolinapublicpress.org/
casper-star-tribune,C,http://trib.com
castanet,C,http://www.castanet.net/
cato-institute,R,https://www.cato.org/
cbc-news-canadian-broadcasting,L,http://www.cbc.ca/news
cbn,R,NA
cbs,R,NA
cbs-news,L,http://www.cbsnews.com/
cbsnews-com-co,R,http://cbsnews.com.co/
cctv-america,L,http://www.cctv-america.com/
censored-news,R,http://www.censored.news/
center-democracy-technology,C,https://cdt.org
center-for-a-new-american-security,C,http://www.cnas.org/
center-for-a-stateless-society,R,https://c4ss.org/
center-for-advanced-defense-studies,C,http://c4ads.org/
center-for-american-progress,L,https://www.americanprogress.org/
center-for-freedom-and-prosperity,R,http://freedomandprosperity.org
center-for-global-development,C,http://www.cgdev.org/
center-for-immigration-studies-cis,R,http://cis.org/
center-for-inquiry,C,http://www.centerforinquiry.net/
center-for-international-policy,L,https://www.ciponline.org/
center-for-media-and-democracy,L,http://www.prwatch.org/cmd
center-for-public-integrity,C,https://www.publicintegrity.org/
center-for-responsive-politics-open-secrets,C,http://www.opensecrets.org/
center-for-strategic-and-international-studies,C,https://www.csis.org/
center-for-the-national-interest,R,NA
center-major-media-sources,C,NA
center-popular-democracy,L,http://populardemocracy.org/
center-public-integrity,L,NA
centre-for-research-of-radicalism-and-national-security-crrns,R,http://researchantisemitism.ca
centre-view,L,NA
cerno-cernovich-com,R,http://cernovich.com
certified-politics,L,http://certifiedpolitics.com
change-org,L,https://www.change.org/
charleston-gazette-mail,L,http://www.wvgazettemail.com/
charlotte-observer,L,http://www.charlotteobserver.com/
check-your-fact,R,https://checkyourfact.com/
cheddar,L,https://cheddar.com
chicago-reader,L,http://www.chicagoreader.com/
chicago-sun-times,L,http://chicago.suntimes.com/
chicago-tribune,R,http://www.chicagotribune.com/
chicks-on-the-right,R,http://www.chicksontheright.com/
china-daily,R,http://www.chinadaily.com.cn/
china-global-television-network-cgtn,C,https://news.cgtn.com
chinook-observer,C,http://www.chinookobserver.com
christian-action-network,R,http://christianaction.org/
christian-news-alerts,R,https://www.christiannewsalerts.com
christian-post,R,http://www.christianpost.com/
christian-science-monitor,C,http://www.csmonitor.com/
christianity-today,R,http://www.christianitytoday.com/
chronicles-magazine-rockford,R,https://www.chroniclesmagazine.org/
chronicles-of-democracy,L,http://www.chroniclesofdemocracy.com/
church-militant,R,https://www.churchmilitant.com/
cincinnati-enquirer,R,http://www.cincinnati.com/
circa-news,R,http://circa.com/
citizen-critics,L,https://citizencritics.org
citizen-free-press,R,https://www.citizenfreepress.com
citizen-truth,L,https://citizentruth.org
citizens-for-legitimate-government-clg-news,L,http://www.legitgov.org/
citizens-for-tax-justice,L,http://ctj.org/
citizens-responsibility-ethics-washington-crew,L,https://www.citizensforethics.org
citizens-united,R,http://citizensunited.org/index.aspx
city-and-state-new-york,C,http://cityandstateny.com/
city-journal,R,http://www.city-journal.org/
cityworldnews,R,http://cityworldnews.com/
civitas-institute,R,https://www.nccivitas.org/
clarion-project,R,https://clarionproject.org/
clash-daily,R,http://clashdaily.com/
clean-technica,L,https://cleantechnica.com/
clear-politics,R,https://www.clear-politics.com/
cnbc,L,http://www.cnbc.com/
cnn,L,http://www.cnn.com/
cnn-com-de,R,http://cnn.com.de/
cnn-editorial,L,NA
cnn-globalnews-com,R,http://www.cnn-globalnews.com/
cns-news,R,http://www.cnsnews.com/
cnsnewscom,R,NA
code-pink,L,http://www.codepink.org/
cold-dead-hands,R,http://www.colddeadhands.us/
college-fix,R,NA
colorado-springs-gazette,R,http://gazette.com/
columbia-daily-herald,R,http://www.columbiadailyherald.com/
columbia-journalism-review,L,http://www.cjr.org/
columbia-reports,L,https://colombiareports.com
columbus-dispatch,R,http://www.dispatch.com/
comic-sands,L,https://www.comicsands.com
commentary-magazine,R,https://www.commentarymagazine.com/
commercial-appeal,L,NA
committee-for-a-responsible-federal-budget,C,http://crfb.org/
committee-for-economic-development,C,https://www.ced.org/
committee-investigate-russia,L,https://investigaterussia.org
committee-to-protect-journalists,C,https://www.cpj.org/
common-cause,L,http://www.commoncause.org
common-dreams,L,https://www.commondreams.org/
commonweal-magazine,L,https://www.commonwealmagazine.org
